id,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
13313,54,62,35,48,49,66,47,42,44,62,86,84,83,58,79,59,60,44,58,42,34,24,62,44,61,58,27,25,24,8,10,12,6.0,14.0
1074,80,70,56,80,62,80,84,74,79,80,69,70,76,76,73,72,64,68,57,77,48,32,75,79,75,75,31,29,23,12,6,15,7.0,15.0
874,71,77,62,73,73,78,68,66,64,74,87,84,75,72,76,71,77,81,62,76,52,41,76,75,67,72,35,34,30,8,9,5,8.0,14.0
8577,59,62,54,71,61,70,58,57,64,67,68,71,67,68,90,54,57,61,50,51,51,61,53,72,63,71,66,64,61,14,6,12,7.0,5.0
5917,66,55,62,64,33,62,45,37,67,65,52,54,59,70,67,65,70,66,76,56,76,68,42,58,60,68,65,74,70,15,13,13,16.0,7.0
13748,11,9,16,28,10,11,16,17,24,18,24,26,46,57,30,45,56,25,67,7,40,17,7,54,13,55,15,13,15,62,61,60,61.0,63.0
2989,70,64,43,70,64,70,71,68,68,70,84,86,78,67,81,68,50,64,34,59,53,36,69,70,63,66,33,38,38,10,12,7,9.0,6.0
8603,58,64,53,57,55,66,63,69,52,62,95,91,88,62,89,87,81,58,74,68,78,39,56,62,56,62,32,46,47,8,10,12,7.0,8.0
11083,55,63,62,58,58,62,59,49,45,60,78,79,74,60,72,64,85,75,82,57,79,41,62,54,68,65,35,42,39,11,6,8,15.0,12.0
6053,62,70,66,65,68,71,60,53,47,72,66,70,71,66,78,72,71,74,67,65,45,24,73,69,78,69,43,21,19,7,11,14,13.0,9.0
8558,65,62,71,64,63,65,68,59,62,65,80,82,75,65,75,70,86,70,73,61,70,61,62,63,59,58,58,61,60,10,7,15,13.0,7.0
6530,67,34,45,64,35,66,48,44,60,66,81,77,74,59,75,56,69,73,68,55,45,59,69,49,38,59,63,68,65,6,13,13,13.0,15.0
3918,39,25,68,72,31,60,30,29,69,65,78,80,75,70,73,50,77,80,65,29,85,66,29,59,36,64,65,74,75,11,12,7,9.0,7.0
16924,43,46,37,58,44,62,44,52,56,56,57,68,63,49,73,52,46,55,58,45,57,25,59,63,41,63,32,43,42,5,7,5,6.0,7.0
361,74,60,76,84,65,72,75,40,76,80,71,76,79,83,80,69,80,79,70,60,80,80,80,70,49,79,80,81,80,6,7,7,12.0,7.0
2886,7,11,10,42,7,20,13,12,44,26,42,44,39,72,33,57,63,42,69,9,25,16,7,51,19,28,12,15,11,73,69,76,71.0,76.0
17025,52,60,54,47,64,59,58,42,37,54,76,73,77,54,78,62,52,42,37,57,44,25,50,53,56,54,24,28,24,6,15,8,13.0,8.0
17652,11,7,12,19,5,9,14,11,25,16,23,15,31,41,49,40,35,16,41,7,28,7,5,36,19,24,7,12,14,56,54,53,57.0,55.0
2237,74,72,38,74,56,77,76,74,69,76,77,71,77,67,82,76,61,67,62,75,39,29,72,73,65,72,30,28,27,11,10,12,12.0,11.0
8337,32,29,65,64,34,48,49,46,60,57,33,31,51,62,53,61,71,57,90,35,78,64,30,43,49,59,64,64,62,6,12,7,6.0,14.0
8035,64,63,65,66,60,66,59,50,63,68,75,72,64,64,68,68,74,69,65,62,41,41,66,62,68,68,22,47,40,10,6,10,10.0,6.0
7044,65,64,59,68,41,65,73,72,66,67,55,52,67,68,65,67,68,80,73,67,68,66,68,70,82,66,66,71,63,16,7,15,10.0,16.0
10975,65,58,55,66,52,65,68,70,62,67,66,68,65,57,66,70,66,61,65,68,55,58,65,68,71,65,63,70,65,7,14,15,6.0,8.0
14405,52,62,29,53,63,72,56,38,42,69,71,73,81,47,79,58,38,42,37,59,30,15,56,54,49,65,18,12,12,9,9,6,10.0,15.0
5565,57,69,63,66,54,73,45,38,45,69,79,81,67,69,73,72,79,74,72,62,49,36,69,64,68,66,50,54,45,8,13,11,14.0,10.0
9225,54,47,60,50,39,63,37,32,55,62,87,86,86,60,71,55,82,80,71,47,65,61,54,62,47,56,60,61,59,12,7,12,14.0,10.0
3234,72,53,57,70,70,70,73,70,67,74,66,67,73,67,80,73,68,72,69,72,62,70,70,64,50,75,74,69,69,8,11,7,5.0,10.0
14304,58,40,48,61,35,71,44,45,59,69,71,68,71,58,86,54,46,63,36,43,46,45,55,62,44,60,46,50,49,6,7,15,14.0,8.0
17968,56,35,43,51,54,58,60,64,58,54,58,64,55,55,72,50,47,51,59,40,61,51,40,50,43,42,48,42,60,8,14,14,12.0,14.0
359,79,75,47,87,83,82,81,72,81,88,68,58,78,81,83,75,63,91,67,68,59,65,81,86,78,87,64,42,53,14,7,12,6.0,10.0
2292,55,77,59,73,73,78,72,74,62,68,73,73,64,81,64,62,63,82,54,48,73,75,59,74,57,50,48,14,7,12,15,6,,
18632,14,9,10,26,7,8,10,10,20,12,25,16,24,39,23,41,50,21,62,8,18,6,4,22,17,36,6,11,11,49,49,55,54.0,45.0
18492,40,31,45,50,36,49,35,33,52,48,68,61,57,53,91,45,37,64,30,31,56,44,54,45,40,44,38,38,47,12,7,9,10.0,11.0
4352,70,47,59,69,54,67,73,67,68,66,66,63,71,69,73,75,67,79,65,65,72,70,57,67,44,68,66,71,69,7,10,8,10.0,8.0
5560,63,67,54,67,68,69,68,56,62,71,72,69,72,70,75,70,72,74,74,66,56,49,71,65,70,73,39,39,50,9,8,13,9.0,13.0
6484,65,64,47,67,48,71,64,52,61,70,82,74,82,61,81,62,55,63,42,58,46,35,56,66,49,57,37,42,37,9,14,14,13.0,10.0
643,76,68,63,79,70,77,79,64,82,80,65,55,72,81,78,76,70,78,69,72,82,82,76,79,74,85,82,80,76,9,12,15,9.0,8.0
9498,61,53,31,70,42,71,52,60,55,68,84,81,77,55,72,62,54,62,50,50,32,32,64,62,48,62,25,34,34,12,10,8,14.0,12.0
4605,69,64,50,73,57,69,73,75,71,72,66,63,69,64,81,74,62,76,61,73,74,62,70,70,77,73,61,64,54,5,8,14,10.0,14.0
7183,62,67,65,73,59,67,62,74,70,72,70,67,72,62,72,74,67,75,57,70,67,65,57,65,70,66,72,65,65,11,6,12,11.0,13.0
4804,52,49,66,67,49,61,50,44,62,67,67,63,70,67,71,52,75,76,74,52,71,69,50,59,48,64,75,71,66,9,8,16,7.0,15.0
2142,59,66,39,70,64,81,59,59,71,77,89,85,88,68,90,74,54,64,41,66,55,29,70,73,57,75,33,41,39,12,15,8,8.0,9.0
3132,39,33,72,69,46,46,33,49,65,50,43,48,69,73,63,54,73,51,78,43,78,77,37,51,44,75,76,73,65,7,11,12,8.0,9.0
4895,42,31,71,69,41,38,33,25,51,58,66,70,54,70,56,66,81,67,76,41,70,69,28,30,36,52,66,71,69,6,8,6,14.0,10.0
2480,65,71,42,68,56,74,71,70,65,75,92,92,78,62,71,85,68,61,62,82,50,39,66,72,48,67,32,36,35,11,7,8,5.0,5.0
5671,62,65,52,72,54,65,67,47,70,70,59,57,68,67,71,68,61,80,65,63,62,64,73,68,48,64,66,64,58,14,9,14,14.0,9.0
11518,60,54,44,65,47,70,73,54,62,71,76,70,71,59,68,77,52,62,47,59,56,52,57,60,56,70,41,56,42,5,10,10,6.0,6.0
1181,56,80,68,74,70,75,64,48,68,76,78,73,79,75,80,74,83,73,80,68,83,41,81,75,75,77,42,46,44,6,14,10,14.0,8.0
16495,33,24,63,51,31,48,33,34,36,39,55,61,47,56,65,41,61,64,55,26,55,56,27,32,45,49,51,67,67,9,13,7,8.0,13.0
14144,41,59,69,50,59,57,52,33,38,60,61,65,48,61,61,68,71,58,70,55,72,25,62,54,52,59,21,19,22,8,6,6,10.0,10.0
3769,44,41,70,69,36,49,47,38,68,62,51,54,55,71,65,70,76,66,84,43,80,71,56,45,48,67,71,69,67,10,9,7,9.0,5.0
16801,41,57,54,51,46,59,49,35,35,56,73,76,67,51,66,56,64,46,58,54,38,13,52,48,68,54,16,19,19,10,10,14,6.0,6.0
9834,55,55,40,56,57,65,60,45,55,61,89,90,86,58,82,62,67,80,66,58,53,55,56,55,51,61,57,57,56,12,6,15,15.0,6.0
976,71,80,65,75,76,79,56,53,60,78,83,87,83,72,73,75,78,78,68,75,66,31,78,70,78,73,25,23,18,14,7,6,8.0,15.0
1618,53,43,73,60,25,63,39,38,58,68,64,69,57,75,42,56,84,78,86,36,80,74,34,31,43,68,75,74,76,12,14,8,10.0,13.0
3320,67,67,60,77,55,74,50,44,61,68,76,77,77,72,65,63,75,54,70,65,44,35,77,69,56,69,28,28,29,8,9,8,12.0,15.0
17421,51,53,38,53,43,58,48,52,50,55,71,58,82,35,77,58,37,53,34,50,28,19,51,50,52,53,26,27,26,14,5,13,9.0,8.0
6674,76,59,62,69,49,63,70,58,68,67,72,74,70,63,68,69,72,87,65,60,62,53,71,72,66,67,60,60,59,6,6,10,8.0,7.0
18575,32,53,47,44,38,50,38,31,29,46,62,64,54,40,54,50,48,60,52,49,50,11,54,42,47,45,12,10,11,6,10,5,8.0,12.0
9268,30,62,58,65,59,67,42,36,59,68,67,86,65,64,58,64,75,74,80,60,45,15,67,66,52,65,30,12,12,6,6,13,9.0,6.0
16768,49,29,42,47,28,57,31,31,41,50,80,84,50,51,69,35,66,59,72,31,51,47,47,41,37,38,48,58,57,14,11,9,7.0,8.0
5985,17,19,21,39,12,26,25,21,37,29,45,46,35,66,58,50,66,21,68,18,21,18,19,35,32,40,15,12,12,70,68,67,66.0,67.0
18132,45,62,51,50,40,55,50,32,40,52,59,59,57,47,59,53,42,57,42,51,34,14,54,49,57,45,16,13,15,8,14,10,8.0,11.0
8869,50,68,55,59,60,71,43,33,43,71,78,78,73,71,88,55,57,66,40,54,30,16,66,53,60,48,29,15,12,12,11,15,6.0,8.0
8237,67,58,48,71,52,69,70,60,69,67,66,62,65,65,74,65,51,68,60,64,67,68,60,69,53,75,64,62,59,9,12,8,8.0,14.0
151,48,39,81,78,33,72,36,28,76,75,76,88,66,81,64,64,92,65,88,42,89,79,47,58,39,74,81,84,82,6,7,8,15.0,9.0
996,57,78,77,69,68,72,55,44,56,70,71,83,66,77,62,82,90,68,88,66,77,33,79,53,70,63,25,27,23,10,7,9,8.0,10.0
3401,59,54,62,76,42,68,43,39,75,75,54,57,69,70,62,65,64,59,63,58,66,71,57,71,49,63,72,73,70,10,15,13,8.0,9.0
6410,60,63,55,63,62,72,59,50,53,69,87,85,79,60,77,66,64,62,57,58,50,21,60,63,62,64,22,32,27,7,10,8,7.0,14.0
10528,56,59,46,59,48,66,51,46,58,64,92,89,77,58,73,57,56,50,38,53,28,33,59,54,60,55,32,18,16,15,6,14,8.0,6.0
18533,39,25,41,41,23,44,33,26,36,39,76,75,60,44,67,32,51,53,51,26,49,45,47,37,29,39,41,48,46,13,14,15,7.0,14.0
